0,GearTorque_1,GearTorque_2,GearTorque_3,GearTorque_4,GearTorque_5,GearTorque_6,Joints_1,Joints_2,Joints_3,Joints_4,Joints_5,Joints_6,RobotPositions_1,RobotPositions_2,RobotPositions_3,RobotPositions_4,RobotPositions_5,RobotPositions_6,MeasuredPositionsLeica_1,MeasuredPositionsLeica_2,MeasuredPositionsLeica_3,MeasuredPositionsLeica_4,MeasuredPositionsLeica_5,MeasuredPositionsLeica_6
26,0.0,0.0,0.0,0.0,0.0,0.0,76.54683,-76.6732,79.62594,0.96464187,32.689987,-34.012756,625.4253869628902,-2412.8536267089858,1709.2490338134755,-85.90884838104255,6.317123587131223,-164.79877204895035,-2004.1146831260155,2918.5012748064423,561.5618400563155,-154.5119464424222,-7.433342030826072,-74.13657084734972
27,0.0,0.0,0.0,0.0,0.0,0.0,72.11134,-75.1845,77.22482,24.099216,38.34195,-37.020203,625.5197564697266,-2412.828126220703,1709.1552807617186,-85.90815387725824,6.320912506580255,173.86497261047367,-2043.479083004245,3010.791904898312,630.466693431893,-154.6696612930743,-6.606291246831875,-52.81651300582895
28,0.0,0.0,0.0,0.0,0.0,0.0,80.544266,-43.51285,80.5483,91.20146,7.9698224,-103.68566,377.8753013610839,-2804.287043457032,636.030721740723,-85.92646789550774,6.348357026576863,173.88590187072748,-1588.0971926821198,2935.415403054154,-443.0530905340664,-154.70842013442407,-6.602126700030754,-52.81101069577732
29,0.0,0.0,0.0,0.0,0.0,0.0,77.25995,-41.624443,77.883644,85.11149,26.494537,-108.88423,377.9508795166016,-2804.258435058593,635.9230053710936,-104.284766921997,4.100841388702417,172.2023651123047,-1640.6121465202295,2924.6139489024717,-438.9128588065569,-173.0481172162387,-4.220448567633893,-51.16364550333581
30,0.0,0.0,0.0,0.0,0.0,0.0,83.00893,-43.615444,80.17609,-74.90926,5.449518,70.522736,377.6638148498537,-2804.4443713378905,636.1920544433591,-72.74421787261963,7.556566653251501,175.4907994842529,-1554.1068593147131,2953.046834307236,-447.3257933035608,-141.4991231429422,-7.906197751109444,-54.43203298660097
31,0.0,0.0,0.0,0.0,0.0,0.0,80.176704,-41.27811,91.72279,166.64119,42.06412,-179.44002,377.614663543701,-2804.291535644531,635.9263500976568,-85.18371608734122,-21.082574129104792,173.20179565429686,-1711.5501767972305,2872.8146776629337,-468.55846406956186,-154.0040605648995,20.83501121132933,-53.25981568375757
32,0.0,0.0,0.0,0.0,0.0,0.0,80.67557,-33.42445,53.675964,11.621482,50.43866,-26.338799,378.0041644287111,-2804.4874743652344,636.1989202880859,-92.72010940551758,38.68882905960083,171.87835144042967,-1455.283906783009,2994.6902743009955,-493.6287428987206,-162.2713907293474,-38.79965140906355,-49.135676123366046
33,0.0,0.0,0.0,0.0,0.0,0.0,87.62905,-41.97666,81.48019,-107.413345,17.344475,59.981316,377.7937889099122,-2804.486165771485,636.3317718505862,-88.62628814697278,8.964494113921853,-142.80447967529295,-1534.90755977421,2773.0197978326614,-615.5679568189889,-156.7812807861259,-10.779710432129272,-96.0719502440736
34,0.0,0.0,0.0,0.0,0.0,0.0,78.373474,-42.27062,77.98005,77.075226,17.158447,-83.416626,378.1575314331057,-2804.300821533201,635.978999633789,-88.62153717041006,8.978523869514275,163.67306968688962,-1601.6443507026088,2989.3593997831917,-425.14115707460354,-157.39088955264705,-8.812886891662746,-42.50176091135423
35,0.0,0.0,0.0,0.0,0.0,0.0,109.777885,-50.745304,65.075485,-30.126375,30.005178,27.805094,-872.3120355224611,-2778.655074462891,1169.8825482177738,-88.60601024627688,8.947222623824777,177.72138267517084,-1096.29025649418,1765.962285818454,84.08908451794558,-157.3805806774763,-9.366392092677676,-56.53091824254711
